Wavelet Scales	Feature Score	Feature Importance	Feature
1	0.013016520033419644	0.013016520033419644	molecular_weight
2	0.007566750504844354	0.007566750504844354	molecular_weight
3	0.01061332737429885	0.01061332737429885	molecular_weight
4	0.003493921532040523	0.003493921532040523	molecular_weight
1	0.022897484036784727	0.022897484036784727	hydrophobicity
2	0.004898451665571504	0.004898451665571504	hydrophobicity
3	0.011238782251458919	0.011238782251458919	hydrophobicity
4	0.044729451924376065	0.044729451924376065	hydrophobicity
1	0.009458032902418877	0.009458032902418877	node_degree
2	0.008695873559000887	0.008695873559000887	node_degree
3	0.005955915625200339	0.005955915625200339	node_degree
4	0.061368210853617614	0.061368210853617614	node_degree
1	0.012591256904285107	0.012591256904285107	node_weighted_degree
2	0.007739141392362827	0.007739141392362827	node_weighted_degree
3	0.009193018276486012	0.009193018276486012	node_weighted_degree
4	0.058691551733906416	0.058691551733906416	node_weighted_degree
1	0.008872552418111903	0.008872552418111903	residue_count
2	0.003980358873004582	0.003980358873004582	residue_count
3	0.012983675964645844	0.012983675964645844	residue_count
4	0.051629820622710314	0.051629820622710314	residue_count
1	0.011332055192089968	0.011332055192089968	clustering_coeff
2	0.006427474575462675	0.006427474575462675	clustering_coeff
3	0.00757932654566036	0.00757932654566036	clustering_coeff
4	0.03287280921985869	0.03287280921985869	clustering_coeff
1	0.0100203752388948	0.0100203752388948	conservation_score
2	0.014627716906194858	0.014627716906194858	conservation_score
3	0.020746262224972143	0.020746262224972143	conservation_score
4	0.08256237356632161	0.08256237356632161	conservation_score
1	0.012047041329324031	0.012047041329324031	bulkiness
2	0.0076860162467476505	0.0076860162467476505	bulkiness
3	0.008497587203759342	0.008497587203759342	bulkiness
4	0.006916516328425166	0.006916516328425166	bulkiness
1	0.030868270509394762	0.030868270509394762	polarity
2	0.013048329601267132	0.013048329601267132	polarity
3	0.026876393081682763	0.026876393081682763	polarity
4	0.02703489469705845	0.02703489469705845	polarity
1	0.03806606823779793	0.03806606823779793	turn_tendency
2	0.012643916193985036	0.012643916193985036	turn_tendency
3	0.00998301604019408	0.00998301604019408	turn_tendency
4	0.006933842899217594	0.006933842899217594	turn_tendency
1	0.005749980537267964	0.005749980537267964	coil_tendency
2	0.0051971091052465035	0.0051971091052465035	coil_tendency
3	0.007646603773783823	0.007646603773783823	coil_tendency
4	0.005949138029989498	0.005949138029989498	coil_tendency
1	0.01194571445808465	0.01194571445808465	flexibility
2	0.018043764329489023	0.018043764329489023	flexibility
3	0.0073515031798709945	0.0073515031798709945	flexibility
4	0.019498629919594317	0.019498629919594317	flexibility
1	0.006893486279793971	0.006893486279793971	partial_specific_volume
2	0.00801674237481055	0.00801674237481055	partial_specific_volume
3	0.014178328887711237	0.014178328887711237	partial_specific_volume
4	0.004404964728411316	0.004404964728411316	partial_specific_volume
1	0.00617962998439603	0.00617962998439603	refractive_index
2	0.0055776328719083276	0.0055776328719083276	refractive_index
3	0.01540063972784292	0.01540063972784292	refractive_index
4	0.06816023854427851	0.06816023854427851	refractive_index
1	0.008162147918967367	0.008162147918967367	compressibility
2	0.007729853899255623	0.007729853899255623	compressibility
3	0.008104558749049697	0.008104558749049697	compressibility
4	0.009424948413393162	0.009424948413393162	compressibility
