Wavelet Scales	Feature Score	Feature Importance	Feature
1	0.032800790975981806	0.032800790975981806	molecular_weight
2	0.008979747914789825	0.008979747914789825	molecular_weight
3	0.00844798252829495	0.00844798252829495	molecular_weight
4	0.033432926245582195	0.033432926245582195	molecular_weight
1	0.013656663996602333	0.013656663996602333	hydrophobicity
2	0.009544400417946063	0.009544400417946063	hydrophobicity
3	0.019106558150072724	0.019106558150072724	hydrophobicity
4	0.01703176303790051	0.01703176303790051	hydrophobicity
1	0.012401238867879395	0.012401238867879395	node_degree
2	0.010219082153636202	0.010219082153636202	node_degree
3	0.007011239109789243	0.007011239109789243	node_degree
4	0.010961195963875028	0.010961195963875028	node_degree
1	0.01564610202456976	0.01564610202456976	node_weighted_degree
2	0.015462302891587745	0.015462302891587745	node_weighted_degree
3	0.011158595345201227	0.011158595345201227	node_weighted_degree
4	0.019468034770858296	0.019468034770858296	node_weighted_degree
1	0.00640761592548546	0.00640761592548546	residue_count
2	0.012825784450777202	0.012825784450777202	residue_count
3	0.01111666556119442	0.01111666556119442	residue_count
4	0.01571010526656593	0.01571010526656593	residue_count
1	0.011394500508092686	0.011394500508092686	clustering_coeff
2	0.012039670624706062	0.012039670624706062	clustering_coeff
3	0.009687475639890869	0.009687475639890869	clustering_coeff
4	0.011911150850333353	0.011911150850333353	clustering_coeff
1	0.014569032508633301	0.014569032508633301	conservation_score
2	0.01212407935551993	0.01212407935551993	conservation_score
3	0.035798133252672	0.035798133252672	conservation_score
4	0.018590177322545823	0.018590177322545823	conservation_score
1	0.011431024656308937	0.011431024656308937	bulkiness
2	0.01014384091523804	0.01014384091523804	bulkiness
3	0.010510502938023311	0.010510502938023311	bulkiness
4	0.018064325343725013	0.018064325343725013	bulkiness
1	0.040443891133871944	0.040443891133871944	polarity
2	0.009069914843079748	0.009069914843079748	polarity
3	0.020765696650973352	0.020765696650973352	polarity
4	0.03506095406521228	0.03506095406521228	polarity
1	0.02675595469086015	0.02675595469086015	turn_tendency
2	0.018937778720339853	0.018937778720339853	turn_tendency
3	0.030491568507448837	0.030491568507448837	turn_tendency
4	0.026019630602608573	0.026019630602608573	turn_tendency
1	0.012967611450366389	0.012967611450366389	coil_tendency
2	0.010169960148809097	0.010169960148809097	coil_tendency
3	0.015776277452382432	0.015776277452382432	coil_tendency
4	0.031242780215708924	0.031242780215708924	coil_tendency
1	0.008631174061309978	0.008631174061309978	flexibility
2	0.014125595862150226	0.014125595862150226	flexibility
3	0.01779754492681888	0.01779754492681888	flexibility
4	0.015598776176585892	0.015598776176585892	flexibility
1	0.009507046001831566	0.009507046001831566	partial_specific_volume
2	0.009805883753424074	0.009805883753424074	partial_specific_volume
3	0.009595212720912549	0.009595212720912549	partial_specific_volume
4	0.016235109524705013	0.016235109524705013	partial_specific_volume
1	0.034037040738889524	0.034037040738889524	refractive_index
2	0.02656605093215157	0.02656605093215157	refractive_index
3	0.024438198109720026	0.024438198109720026	refractive_index
4	0.01884258719756333	0.01884258719756333	refractive_index
1	0.019233685849490405	0.019233685849490405	compressibility
2	0.010514754765971872	0.010514754765971872	compressibility
3	0.008017987097256044	0.008017987097256044	compressibility
4	0.011698624285277914	0.011698624285277914	compressibility
