Wavelet Scales	Feature Score	Feature Importance	group
1	0.014341487832290096	0.014341487832290096	molecular_weight
2	0.015688674263936466	0.015688674263936466	molecular_weight
3	0.010773851058855394	0.010773851058855394	molecular_weight
4	0.016154432156839125	0.016154432156839125	molecular_weight
1	0.015575955808065242	0.015575955808065242	hydrophobicity
2	0.019670548295238142	0.019670548295238142	hydrophobicity
3	0.011620126163113744	0.011620126163113744	hydrophobicity
4	0.021597907623387865	0.021597907623387865	hydrophobicity
1	0.02404244632259657	0.02404244632259657	node_degree
2	0.016532736712381445	0.016532736712381445	node_degree
3	0.010764847769257813	0.010764847769257813	node_degree
4	0.018947352220724776	0.018947352220724776	node_degree
1	0.01470864773210675	0.01470864773210675	node_weighted_degree
2	0.014854354750233872	0.014854354750233872	node_weighted_degree
3	0.012512670331531838	0.012512670331531838	node_weighted_degree
4	0.018097629972432284	0.018097629972432284	node_weighted_degree
1	0.021808746552926868	0.021808746552926868	residue_count
2	0.01670666388990998	0.01670666388990998	residue_count
3	0.014996585725694714	0.014996585725694714	residue_count
4	0.021940767221883074	0.021940767221883074	residue_count
1	0.019022799401107127	0.019022799401107127	clustering_coeff
2	0.018623230753883266	0.018623230753883266	clustering_coeff
3	0.010312210087479467	0.010312210087479467	clustering_coeff
4	0.021902826107219643	0.021902826107219643	clustering_coeff
1	0.011718419686503131	0.011718419686503131	conservation_score
2	0.0178561440535966	0.0178561440535966	conservation_score
3	0.015440464761295047	0.015440464761295047	conservation_score
4	0.01662575954433982	0.01662575954433982	conservation_score
1	0.015826538727584005	0.015826538727584005	bulkiness
2	0.014497249059099321	0.014497249059099321	bulkiness
3	0.012934350018053289	0.012934350018053289	bulkiness
4	0.02136226020794992	0.02136226020794992	bulkiness
1	0.010535758393122518	0.010535758393122518	polarity
2	0.013678103585397679	0.013678103585397679	polarity
3	0.015040258053770926	0.015040258053770926	polarity
4	0.021780769744755468	0.021780769744755468	polarity
1	0.01120869173126624	0.01120869173126624	turn_tendency
2	0.012189614721145194	0.012189614721145194	turn_tendency
3	0.012227087436257235	0.012227087436257235	turn_tendency
4	0.021983171765441813	0.021983171765441813	turn_tendency
1	0.017430522406880027	0.017430522406880027	coil_tendency
2	0.014774194889758925	0.014774194889758925	coil_tendency
3	0.013270043751754959	0.013270043751754959	coil_tendency
4	0.01846182885901463	0.01846182885901463	coil_tendency
1	0.024462146532155973	0.024462146532155973	flexibility
2	0.012114927263540591	0.012114927263540591	flexibility
3	0.015700629610686412	0.015700629610686412	flexibility
4	0.021211481622271197	0.021211481622271197	flexibility
1	0.02259319811735275	0.02259319811735275	partial_specific_volume
2	0.015530686975382372	0.015530686975382372	partial_specific_volume
3	0.021750057505793754	0.021750057505793754	partial_specific_volume
4	0.016039895809706873	0.016039895809706873	partial_specific_volume
1	0.012272456113966374	0.012272456113966374	refractive_index
2	0.013063685517401193	0.013063685517401193	refractive_index
3	0.012200282796293472	0.012200282796293472	refractive_index
4	0.03946281077935658	0.03946281077935658	refractive_index
1	0.021350638732375665	0.021350638732375665	compressibility
2	0.013318784677034696	0.013318784677034696	compressibility
3	0.011735929012947786	0.011735929012947786	compressibility
4	0.017153658783652027	0.017153658783652027	compressibility
