,corr
bulkiness_1,-0.17459268799539024
bulkiness_2,0.23639200784111666
bulkiness_3,-0.170150995345801
bulkiness_4,-0.022891800578651946
clustering_coeff_1,0.37135113065555725
clustering_coeff_2,0.24783790813044262
clustering_coeff_3,-0.3064340842384845
clustering_coeff_4,0.06111598251502041
coil_tendency_1,0.07384314029942017
coil_tendency_2,0.5071644251333803
coil_tendency_3,-0.38561579743404556
coil_tendency_4,0.04262316600278851
compressibility_1,-0.1618228216278213
compressibility_2,0.3145487150406186
compressibility_3,-0.30147988859086583
compressibility_4,0.12748512075984342
conservation_score_1,0.008285465134810592
conservation_score_2,0.33786760145096184
conservation_score_3,-0.13679559189071303
conservation_score_4,0.07960879902725228
flexibility_1,0.10254330818907337
flexibility_2,0.008200047968472339
flexibility_3,-0.19026673801845975
flexibility_4,0.10608812059211088
hydrophobicity_1,-0.06876081890229409
hydrophobicity_2,-0.08012130202528181
hydrophobicity_3,-0.28815481064209825
hydrophobicity_4,0.09515472330081444
molecular_weight_1,0.03348352920459539
molecular_weight_2,0.21725856258134787
molecular_weight_3,-0.3321019427231297
molecular_weight_4,0.08315361143028982
node_degree_1,0.5224113893247586
node_degree_2,0.3862564261815825
node_degree_3,0.19248758434325433
node_degree_4,0.02626577864901296
node_weighted_degree_1,0.5151936387691762
node_weighted_degree_2,0.20705121120392656
node_weighted_degree_3,-0.20935747469505941
node_weighted_degree_4,0.012769866367568902
partial_specific_volume_1,-0.0058937844773394935
partial_specific_volume_2,0.2914006629629519
partial_specific_volume_3,-0.31194349146730194
partial_specific_volume_4,0.03502103819868395
polarity_1,-0.32539669516557684
polarity_2,-0.4183305721415967
polarity_3,-0.09007240190368836
polarity_4,0.03237310604219809
refractive_index_1,0.10830896691690549
refractive_index_2,0.1507612985870175
refractive_index_3,-0.2568921277622975
refractive_index_4,0.041939828672082485
residue_count_1,0.12201842211419517
residue_count_2,0.3131820403792066
residue_count_3,0.1206517474527831
residue_count_4,0.17463539657855934
turn_tendency_1,-0.00871255096650186
turn_tendency_2,0.4062440431047338
turn_tendency_3,-0.3994533783808426
turn_tendency_4,0.05586282678521781
