,corr
bulkiness_1,0.25264500098278614
bulkiness_2,0.1783217304330483
bulkiness_3,0.00983159768194348
bulkiness_4,-0.16253705525561607
clustering_coeff_1,0.10805737635750723
clustering_coeff_2,0.1537878353001251
clustering_coeff_3,-0.046181449661973045
clustering_coeff_4,-0.2806064255828089
coil_tendency_1,0.0036981238987126856
coil_tendency_2,0.11428104828460908
coil_tendency_3,0.021647554529049866
coil_tendency_4,-0.15550160003367489
compressibility_1,0.00027059443161312337
compressibility_2,0.13917573599301644
compressibility_3,-0.04726382738842554
compressibility_4,-0.12952453459881505
conservation_score_1,-0.2317190316047046
conservation_score_2,0.12970493088655713
conservation_score_3,-0.07964496103812929
conservation_score_4,-0.10544163018524706
flexibility_1,0.2964812989041121
flexibility_2,0.25129202882472057
flexibility_3,0.14512881348850515
flexibility_4,-0.12077531464332403
hydrophobicity_1,0.19672215178274063
hydrophobicity_2,0.22233842464211634
hydrophobicity_3,0.2832221717550691
hydrophobicity_4,-0.18815332811499175
molecular_weight_1,0.11987333320461364
molecular_weight_2,0.16632537729819982
molecular_weight_3,-0.026428056154215045
molecular_weight_4,-0.18319243020208448
node_degree_1,-0.003878520186454768
node_degree_2,0.11689679445686928
node_degree_3,-0.15568199632141697
node_degree_4,-0.24434677174665034
node_weighted_degree_1,-0.10634361162395746
node_weighted_degree_2,-0.0006313870070972878
node_weighted_degree_3,0.027239839449054417
node_weighted_degree_4,-0.15892912950077442
partial_specific_volume_1,0.2727591870660283
partial_specific_volume_2,0.1757059842607881
partial_specific_volume_3,-0.009561003250330359
partial_specific_volume_4,-0.1946475944737067
polarity_1,0.2211658487717928
polarity_2,0.320383807029938
polarity_3,0.15207407056657532
polarity_4,-0.13421483808010917
refractive_index_1,0.19112986686273614
refractive_index_2,0.21340880839888324
refractive_index_3,0.029855585621314604
refractive_index_4,-0.1746236065343356
residue_count_1,0.1827414394827293
residue_count_2,0.31758766456993576
residue_count_3,0.17281964365691477
residue_count_4,0.14323465246721329
turn_tendency_1,-0.014251306731624494
turn_tendency_2,0.10877896150847559
turn_tendency_3,0.06512305987489168
turn_tendency_4,-0.1588389313569034
